comparison,group,analysis,color
all,mda_control_neuron,aging_rates,black
all,mda_control_oligo,aging_rates,black
all,mda_control_mixedglia,aging_rates,black
all,mda_alz_neuron,aging_rates,black
all,pta_control_neuron,aging_rates,black
all,pta_control_oligo,aging_rates,black
all,pta_alz_neuron,aging_rates,black
all,pta_als_neuron,aging_rates,black
all,pta_ftd_neuron,aging_rates,black
pta,pta_control_neuron,aging_rates,black
pta,pta_control_oligo,aging_rates,black
pta,pta_alz_neuron,aging_rates,black
pta,pta_als_neuron,aging_rates,black
pta,pta_ftd_neuron,aging_rates,black
mda,mda_control_neuron,aging_rates,black
mda,mda_control_oligo,aging_rates,black
mda,mda_control_mixedglia,aging_rates,black
mda,mda_alz_neuron,aging_rates,black
