group,sample
mda,1465-cortex_1-neuron_MDA_12
mda,1465-cortex_1-neuron_MDA_18
mda,1465-cortex_1-neuron_MDA_20
mda,1465-cortex_1-neuron_MDA_24
mda,1465-cortex_1-neuron_MDA_25
mda,1465-cortex_1-neuron_MDA_2_WGSb
mda,1465-cortex_1-neuron_MDA_30
mda,1465-cortex_1-neuron_MDA_39
mda,1465-cortex_1-neuron_MDA_3_WGSb
mda,1465-cortex_1-neuron_MDA_46
mda,1465-cortex_1-neuron_MDA_47
mda,1465-cortex_1-neuron_MDA_5
mda,1465-cortex_1-neuron_MDA_51_WGSb
mda,1465-cortex_1-neuron_MDA_6_WGSb
mda,4638-MDA-2
mda,4638-MDA-03
mda,4638-MDA-4
mda,4638-MDA-7
mda,4638-MDA-11
mda,4638-MDA-12
mda,4638-MDA-14
mda,4638-MDA-15
mda,4638-MDA-20
mda,4638-MDA-24
mda,4643_MDA_1
mda,4643_MDA_2
mda,4643-MDA_23
mda,4643_MDA_24
mda,4643_MDA_26
mda,4643_MDA_3
mda,4643_MDA_31
mda,4643_MDA_32
mda,4643_MDA_4
mda,4643_MDA_5
mda,1278_ct_p1E3
mda,1278_ct_p1E6
mda,1278_ct_p1G9
mda,1278_ct_p2B9
mda,1278_ct_p2C7
mda,1278_ct_p2E4
mda,1278_ct_p2E6
mda,1278_ct_p2F5
mda,1278_ct_p2G5
mda,1465_ct_8p2h8
mda,1465_ct_p2B11
mda,1465_ctx_p2F06
mda,1465_ctx_p2g8
mda,5171_ct_p1H1
mda,5171_ct_p2F11
mda,5171_ct_p2F12
mda,5171_ct_p2G4
mda,5219_ct_p1G1
mda,5219_ct_p1G7
mda,5219_ct_p2A12
mda,5219_ct_p2C3
mda,5817_ct_p1H10
mda,5817_ct_p1H2
mda,5817_ct_p1H5
mda,5817_ct_p2H6
mda,5511_20150527-pfc-1cp1F6_20170221-WGS
mda,5511_20150527-pfc-1cp2D3_20170221-WGS
mda,5511_20150527-pfc-1cp2F3_20170221-WGS
mda,5823_20160810-dg-1cp2E1_20170221-WGS
mda,5823_20160810-dg-1cp3D11_20170221-WGS
mda,5823_20160810-dg-1cp3H1_20170221-WGS
mda,5823_20160824-pfc-1cp1F11_20170221-WGS
mda,5823_20160824-pfc-1cp2E1_20170221-WGS
mda,5823_20160824-pfc-1cp2G5_20170221-WGS
mda,5840_20160809-pfc-1cp1C2_20170221-WGS
mda,5840_20160809-pfc-1cp1D7_20170221-WGS
mda,5840_20160809-pfc-1cp1G4_20170221-WGS
mda,5840_20160810-dg-1cp2D10_20170221-WGS
mda,5840_20160810-dg-1cp3A10_20170221-WGS
mda,5840_20160810-dg-1cp3F8_20170221-WGS
mda,936_20141001-pfc-1cp1G11_20170221-WGS
mda,936_20141001-pfc-1cp1H9_20170221-WGS
mda,936_20141001-pfc-1cp2F6_20170221-WGS
mda,5559-dg1C11
mda,5559-dg1F1
mda,5559-dg3A11
mda,5559-dg4C11
mda,5559-dg4E3
mda,5559-pfc1C4
mda,5559-pfc1C7
mda,5559-pfc1E2
mda,5559-pfc1H2
mda,5559-pfc2A3
mda,5657-pfc1D2
mda,5657-pfc1E11
mda,5657-pfc2A6
mda,5657-pfc2F1
mda,5657-pfc2G9
mda,5657-dg1G2
mda,5657-dg2G2
mda,5657-dg4A12
mda,5657-dg4B1
mda,5657-dg4H1
mda,5087-1cp1C6
mda,5087-1cp1C9
mda,5087-1cp1D6
mda,5087-1cp1H10b
mda,5087-1cp2A2
mda,5532-1cp1E11
mda,5532-1cp1E9
mda,5532-1cp1H11
mda,5532-1cp1H4
mda,5532-1cp1H9
mda,5087pfc-Lp1C5
mda,5087pfc-Rp1G4
mda,5087pfc-Rp3C5
mda,5087pfc-Rp3F4
mda,5532pfc-Lp1C5
mda,5532pfc-Lp2C5
mda,5532pfc-Rp1C11
mda,5532pfc-Rp1H7
mda,1465-2-C1
mda,1465-2-E12
mda,GliaLC-4-B12
mda,GliaLC-4-D12
mda,GliaLC-4-D8
mda,GliaLC-4-E12
mda,GliaLC-4-F11
mda,GliaLC-4-F7
mda,GliaLC-4-F9
mda,GliaLC-4-G10
mda,GliaLC-4-H7
mda,GliaLC-4-H8
mda,GliaLC-5-B12
mda,GliaLC-5-B7
mda,GliaLC-5-B8
mda,GliaLC-5-C7
mda,GliaLC-5-D10
mda,GliaLC-5-E12
mda,GliaLC-5-E7
mda,GliaLC-5-G7
mda,GliaLC-5-H10
mda,GliaLC-5-H11
mda,GliaLC-6-A5
mda,GliaLC-6-A7
mda,GliaLC-6-B10
mda,GliaLC-6-B4
mda,GliaLC-6-B5
mda,GliaLC-6-C1
mda,GliaLC-6-C2
mda,GliaLC-6-D10
mda,GliaLC-6-D8
mda,GliaLC-6-E6
mda,GliaLC-6-E7
mda,GliaLC-6-F10
mda,GliaLC-6-F12
mda,GliaLC-6-F3
mda,GliaLC-6-G3
mda,GliaLC-6-G4
mda,GliaLC-6-G7
mda,GliaLC-6-H12
mda,GliaLC-6-H3
mda,GliaLC-6-H7
mda,1353-181114-Pp2B08
mda,1353-181114-Pp2H04
mda,1353-181114-Pp2H10
mda,1353_180322_P1E03
mda,1353_180322_Pp1C02
mda,1353_180322_Pp1G05
mda,1353_180322_Pp1H01
mda,1353_180327_Hp1D03
mda,1353_180508_Hp2C08
mda,1353_180508_Hp2E08
mda,1353_180508_Hp2G06
mda,1353_180508_Hp2H11
mda,1456_180403_Hp1D06
mda,1456_180403_Hp1E10
mda,1456_180403_Hp1G11
mda,1456_180403_Hp2G08
mda,1456_180508_Pp2B03
mda,1456_180508_Pp2B10
mda,1456_180508_Pp2D03
mda,1456_180508_Pp2D11
mda,1456_180508_Pp2E04
mda,1647-181116-Hp3C11
mda,1647-181116-Hp3E10
mda,1647-181116-Hp3G08
mda,1647-181116-Hp3H06
mda,1647-190108-Pp3B09
mda,1647-190108-Pp3B10
mda,1647-190108-Pp3C11
mda,1647_180713_P2B05
mda,1647_180713_P2D11
mda,1647_180713_P2G01
mda,MA1647_p1E05
mda,1828-181116-Hp2B07
mda,1828-181116-Hp2C09
mda,1828-181116-Hp2D07
mda,1828-181116-Hp2D09
mda,MA1828_p1A09
mda,MA1828_p1C06
mda,MA1828_p1D06
mda,MA1828_p1F01
mda,MA1828_p1F03
mda,MA1828_p2F10
mda,MA1828_p2G02
mda,MA1828_p2G10
mda,MA1828_p2H02
mda,MA1828_p2H11
mda,1995-181114-Pp5E11
mda,1995-181114-Pp5G02
mda,1995-181114-Pp5H06
mda,1995-181114-Pp5H08
mda,1995_171201_Pp1G12
mda,1995_171201_Pp1H09
mda,1995_180413_Hp1A12
mda,1995_180413_Hp1B03
mda,1995_180601_Pp4D07
mda,1995_180601_Pp4G11
mda,1995_180604_Hp2A12
mda,1995_180604_Hp2G12
mda,2208-181120-Hp1B01
mda,2208-181120-Hp1B02
mda,2208-181120-Hp1C12
mda,2208-181120-Hp1H04
mda,2208-181120-Hp1H05
mda,2208-181120-Pp1B05
mda,2208-181120-Pp1E01
mda,2208-181120-Pp1G03
mda,2208-181120-Pp1G04
mda,2208-181120-Pp1H10
mda,4556_170602_H1B01
mda,4556_170602_P1A08
mda,4556_170626_H2A09
mda,4556_170626_H2F06
mda,4556_170626_H2G07
mda,4556_170626_H2G11
mda,4556_170626_P2E02
mda,4556_170626_P2F08
mda,5222-181114-Pp3C03
mda,5222-181114-Pp3G05
mda,5222_180601_Pp2B04
mda,5222_180601_Pp2B12
mda,5222_180601_Pp2C01
mda,5222_180601_Pp2F05
mda,UMB5222_p1C06
mda,UMB5222_p1F08
mda,UMB5222_p1H04
mda,UMB5222_p1H07
mda,UMB5222_p2E10
mda,1465_pfcalk-1cA12
mda,1465_pfcalk-1cB07
mda,1465_pfcalk-1cB08
mda,1465_pfcalk-1cD09
mda,4976-190221-Hp1C04
mda,4976-190221-Hp1F11
mda,4976-190221-Hp1G08
mda,4976-190221-Hp2D06
mda,4976-190221-Hp2E09
mda,4976-190221-Pp1E11
mda,4976-190221-Pp2C05
mda,4976-190221-Pp2E06
mda,4976-190221-Pp2F02
mda,4976-190221-Pp2G03
mda,5087-190107-Hp1A09
mda,5087-190107-Hp1E12
mda,5087-190107-Hp1F06
mda,5087-190107-Hp1F09
mda,5087-190107-Hp1G08
mda,5171_180713_P2E03
mda,5171_180713_P2F01
mda,5171_180713_P2F06
mda,5171_180713_P2F08
mda,UMB5171_p1A09
mda,UMB5171_p1C01
mda,UMB5171_p1D11
mda,UMB5171_p1E07
mda,UMB5171_p1H01
mda,5451-190107-Hp1B10
mda,5451-190107-Hp1C11
mda,5451-190107-Hp1D05
mda,5451-190107-Hp1F11
mda,5451-190107-Hp1G10
mda,5451-190108-Pp1C03
mda,5451-190108-Pp1D01
mda,5451-190108-Pp1D10
mda,5451-190108-Pp1F05
mda,5451-190108-Pp1F09
mda,5657_180713_P1B06
mda,5657_180713_P1C01
mda,5657_180713_P1E08
mda,5657_180713_P1E10
mda,5657_180713_P1E11
mda,5657_180716_H1A08
mda,5657_180716_H1F01
mda,5657_180716_H1F09
mda,5657_180716_H1H08
mda,5657_180716_H1H11
mda,5823_180716_H1B10
mda,5823_180716_H1E04
mda,5823_180716_H1E07
mda,5823_180716_H1F04
mda,5823_180716_H1H05
mda,5840-190107-Hp2A12
mda,5840-190107-Hp2B02
mda,5840-190107-Hp2B08
mda,5840-190107-Hp2F03
mda,5840-190107-Hp2F12
mda,5943-190107-Hp1A07
mda,5943-190107-Hp1C10
mda,5943-190107-Hp1C11
mda,5943-190107-Hp1D04
mda,5943-190107-Hp1D10
mda,5943-190108-Pp1A10
mda,5943-190108-Pp1B02
mda,5943-190108-Pp1C02
mda,5943-190108-Pp1E07
mda,5943-190108-Pp1F06
